species,strain,reference_genome_accession,reference_identifier,gene_name,category,product_annotation,annotation_source,inclusion_rule,mapping_method,mapping_confidence
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01100,rpsL,ribosomal protein,ribosomal protein S12 (BS12),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01110,rpsG,ribosomal protein,ribosomal protein S7 (BS7),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01150,rpsJ,ribosomal protein,ribosomal protein S10 (BS13); transcription antitermination factor,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01160,rplC,ribosomal protein,ribosomal protein L3 (BL3),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01170,rplD,ribosomal protein,ribosomal protein L4,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01180,rplW,ribosomal protein,ribosomal protein L23,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01190,rplB,ribosomal protein,ribosomal protein L2 (BL2),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01200,rpsS,ribosomal protein,ribosomal protein S19 (BS19),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01210,rplV,ribosomal protein,ribosomal protein L22 (BL17),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01220,rpsC,ribosomal protein,ribosomal protein S3 (BS3),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01230,rplP,ribosomal protein,ribosomal protein L16,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01240,rpmC,ribosomal protein,ribosomal protein L29,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01250,rpsQ,ribosomal protein,ribosomal protein S17 (BS16),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01260,rplNA,ribosomal protein,ribosomal protein L14,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01270,rplX,ribosomal protein,ribosomal protein L24 (BL23),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01280,rplE,ribosomal protein,ribosomal protein L5 (BL6),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01290,rpsNA,ribosomal protein,ribosomal protein S14,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01300,rpsH,ribosomal protein,ribosomal protein S8 (BS8),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01310,rplF,ribosomal protein,ribosomal protein L6 (BL8),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01320,rplR,ribosomal protein,ribosomal protein L18,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01330,rpsE,ribosomal protein,ribosomal protein S5,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01340,rpmD,ribosomal protein,ribosomal protein L30 (BL27),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01350,rplO,ribosomal protein,ribosomal protein L15,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01400,rpmJ,ribosomal protein,ribosomal protein L36 (ribosomal protein B),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01410,rpsM,ribosomal protein,ribosomal protein S13,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01420,rpsK,ribosomal protein,ribosomal protein S11 (BS11),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01440,rplQ,ribosomal protein,ribosomal protein L17 (BL15),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01490,rplM,ribosomal protein,ribosomal protein L13,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU01500,rpsI,ribosomal protein,ribosomal protein S9,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU08880,rpsNB,ribosomal protein,alternative ribosomal protein S14,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU15080,rpmF,ribosomal protein,ribosomal protein L32,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU15820,rpmB,ribosomal protein,ribosomal protein L28,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU15990,rpsP,ribosomal protein,ribosomal protein S16 (BS17),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU16040,rplS,ribosomal protein,ribosomal protein L19,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU16490,rpsB,ribosomal protein,ribosomal protein S2,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU16680,rpsO,ribosomal protein,ribosomal protein S15 (BS18),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU22880,rpfA,ribosomal protein,RNA degradation presenting factor (ribosomal protein S1 homolog),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU24900,rpmGA,ribosomal protein,ribosomal protein L33,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU25410,rpsU,ribosomal protein,ribosomal protein S21,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU25550,rpsT,ribosomal protein,ribosomal protein S20 (BS20),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU27940,rpmA,ribosomal protein,ribosomal protein L27 (BL24),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU27960,rplU,ribosomal protein,ribosomal protein L21 (BL20),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU28850,rplT,ribosomal protein,ribosomal protein L20,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU28860,rpmI,ribosomal protein,ribosomal protein L35,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU29660,rpsD,ribosomal protein,ribosomal protein S4 (BS4),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU30700,rpmEB,ribosomal protein,ribosomal protein L31,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU37070,rpmEA,ribosomal protein,ribosomal protein L31,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU40500,rplI,ribosomal protein,ribosomal protein L9,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU40890,rpsR,ribosomal protein,ribosomal protein S18,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU40910,rpsF,ribosomal protein,ribosomal protein S6 (BS9),NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Bacillus subtilis,subsp. subtilis 168,GCF_000009045.1,BSU41060,rpmH,ribosomal protein,ribosomal protein L34,NCBI RefSeq GCF_000009045.1 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3295,rpoA,RNA polymerase,RNA polymerase subunit alpha,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3649,rpoZ,RNA polymerase,RNA polymerase subunit omega,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3987,rpoB,RNA polymerase,RNA polymerase subunit beta,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3988,rpoC,RNA polymerase,RNA polymerase subunit beta',NCBI RefSeq GCF_000005845.2 GFF CDS product,curated structural RNA-polymerase subunit product; sigma factors excluded,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0023,rpsT,ribosomal protein,30S ribosomal subunit protein S20,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0169,rpsB,ribosomal protein,30S ribosomal subunit protein S2,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0296,ykgM,ribosomal protein,50S ribosomal subunit protein L31B,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0911,rpsA,ribosomal protein,30S ribosomal subunit protein S1,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b1089,rpmF,ribosomal protein,50S ribosomal subunit protein L32,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b1716,rplT,ribosomal protein,50S ribosomal subunit protein L20,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b1717,rpmI,ribosomal protein,50S ribosomal subunit protein L35,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b2185,rplY,ribosomal protein,50S ribosomal subunit protein L25,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b2606,rplS,ribosomal protein,50S ribosomal subunit protein L19,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b2609,rpsP,ribosomal protein,30S ribosomal subunit protein S16,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3065,rpsU,ribosomal protein,30S ribosomal subunit protein S21,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3165,rpsO,ribosomal protein,30S ribosomal subunit protein S15,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3185,rpmA,ribosomal protein,50S ribosomal subunit protein L27,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3186,rplU,ribosomal protein,50S ribosomal subunit protein L21,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3230,rpsI,ribosomal protein,30S ribosomal subunit protein S9,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3231,rplM,ribosomal protein,50S ribosomal subunit protein L13,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3294,rplQ,ribosomal protein,50S ribosomal subunit protein L17,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3296,rpsD,ribosomal protein,30S ribosomal subunit protein S4,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3297,rpsK,ribosomal protein,30S ribosomal subunit protein S11,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3298,rpsM,ribosomal protein,30S ribosomal subunit protein S13,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3299,rpmJ,ribosomal protein,50S ribosomal subunit protein L36,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3301,rplO,ribosomal protein,50S ribosomal subunit protein L15,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3302,rpmD,ribosomal protein,50S ribosomal subunit protein L30,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3303,rpsE,ribosomal protein,30S ribosomal subunit protein S5,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3304,rplR,ribosomal protein,50S ribosomal subunit protein L18,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3305,rplF,ribosomal protein,50S ribosomal subunit protein L6,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3306,rpsH,ribosomal protein,30S ribosomal subunit protein S8,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3307,rpsN,ribosomal protein,30S ribosomal subunit protein S14,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3308,rplE,ribosomal protein,50S ribosomal subunit protein L5,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3309,rplX,ribosomal protein,50S ribosomal subunit protein L24,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3310,rplN,ribosomal protein,50S ribosomal subunit protein L14,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3311,rpsQ,ribosomal protein,30S ribosomal subunit protein S17,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3312,rpmC,ribosomal protein,50S ribosomal subunit protein L29,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3313,rplP,ribosomal protein,50S ribosomal subunit protein L16,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3314,rpsC,ribosomal protein,30S ribosomal subunit protein S3,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3315,rplV,ribosomal protein,50S ribosomal subunit protein L22,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3316,rpsS,ribosomal protein,30S ribosomal subunit protein S19,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3317,rplB,ribosomal protein,50S ribosomal subunit protein L2,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3318,rplW,ribosomal protein,50S ribosomal subunit protein L23,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
Escherichia coli,K-12 MG1655,GCF_000005845.2,b3319,rplD,ribosomal protein,50S ribosomal subunit protein L4,NCBI RefSeq GCF_000005845.2 GFF CDS product,curated product annotation identifying an actual small- or large-subunit ribosomal protein,reference-locus annotation,high
