species,reference_strain,reference_genome_accession,reference_identifier,reference_identifier_source,seqname,start,end,reference_feature_type,reference_gene_name,norm_pos,type
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0062,locus_tag,NC_000913.3,66835,68337,gene,araA,0.3375589122148752,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0063,locus_tag,NC_000913.3,68348,70048,gene,araB,0.33825349250654724,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0064,locus_tag,NC_000913.3,70387,71265,gene,araC,0.33895496689540705,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0065,locus_tag,NC_000913.3,71351,72115,gene,yabI,0.33934577602974114,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0066,locus_tag,NC_000913.3,72229,72927,gene,thiQ,0.3397098705374724,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0067,locus_tag,NC_000913.3,72911,74521,gene,thiP,0.3402002131999555,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0068,locus_tag,NC_000913.3,74497,75480,gene,thiB,0.3407485093669237,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0069,locus_tag,NC_000913.3,75644,77299,gene,sgrR,0.34138750600001894,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0070,locus_tag,NC_000913.3,77621,78799,gene,setA,0.3421365927475821,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0071,locus_tag,NC_000913.3,78848,79453,gene,leuD,0.34254183639790314,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0072,locus_tag,NC_000913.3,79464,80864,gene,leuC,0.3429785343666436,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0073,locus_tag,NC_000913.3,80867,81958,gene,leuB,0.34351648938783,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0074,locus_tag,NC_000913.3,81958,83529,gene,leuA,0.3440899920976411,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0075,locus_tag,NC_000913.3,83622,83708,gene,leuL,0.3444870490075516,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0076,locus_tag,NC_000913.3,84368,85312,gene,leuO,0.3449933342697815,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0077,locus_tag,NC_000913.3,85630,87354,gene,ilvI,0.3457051498044231,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0078,locus_tag,NC_000913.3,87357,87848,gene,ilvH,0.3461836432373646,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0080,locus_tag,NC_000913.3,88028,89032,gene,cra,0.3465832854337206,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0081,locus_tag,NC_000913.3,89634,90092,gene,mraZ,0.34715764990568015,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0082,locus_tag,NC_000913.3,90094,91035,gene,rsmH,0.34745991297925827,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0083,locus_tag,NC_000913.3,91032,91397,gene,ftsL,0.3477399856775131,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0084,locus_tag,NC_000913.3,91413,93179,gene,ftsI,0.3482059835593017,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0085,locus_tag,NC_000913.3,93166,94653,gene,murE,0.34890121017258513,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0086,locus_tag,NC_000913.3,94650,96008,gene,murF,0.3495128458574663,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0087,locus_tag,NC_000913.3,96002,97084,gene,mraY,0.35003593548159145,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0088,locus_tag,NC_000913.3,97087,98403,gene,murD,0.35055385453282584,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0089,locus_tag,NC_000913.3,98403,99647,gene,ftsW,0.35110538230785077,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0090,locus_tag,NC_000913.3,99644,100711,gene,murG,0.3516019727459103,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0091,locus_tag,NC_000913.3,100765,102240,gene,murC,0.35217289016927594,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0092,locus_tag,NC_000913.3,102233,103153,gene,ddlB,0.35268585408815656,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0093,locus_tag,NC_000913.3,103155,103985,gene,ftsQ,0.3530637367902635,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0094,locus_tag,NC_000913.3,103982,105244,gene,ftsA,0.3535131457506939,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0095,locus_tag,NC_000913.3,105305,106456,gene,ftsZ,0.3540592875122909,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0096,locus_tag,NC_000913.3,106557,107474,gene,lpxC,0.3545483375315513,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0097,locus_tag,NC_000913.3,107705,108217,gene,secM,0.3549557355872435,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0098,locus_tag,NC_000913.3,108279,110984,gene,secA,0.3556755224217585,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0099,locus_tag,NC_000913.3,111044,111433,gene,mutT,0.3563679483080593,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0101,locus_tag,NC_000913.3,111649,111846,gene,yacG,0.35658726677484653,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0102,locus_tag,NC_000913.3,111856,112599,gene,zapD,0.3567940896904809,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0103,locus_tag,NC_000913.3,112599,113219,gene,coaE,0.35708773514257425,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0104,locus_tag,NC_000913.3,113444,114487,gene,guaC,0.35754296099750693,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0106,locus_tag,NC_000913.3,114522,115724,gene,hofC,0.35804170584093764,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0107,locus_tag,NC_000913.3,115714,117099,gene,hofB,0.35859474169972244,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0108,locus_tag,NC_000913.3,117109,117549,gene,ppdD,0.3589922294907072,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0109,locus_tag,NC_000913.3,117752,118645,gene,nadC,0.3593668805847573,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0110,locus_tag,NC_000913.3,118733,119284,gene,ampD,0.3597158942548903,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0111,locus_tag,NC_000913.3,119281,120135,gene,ampE,0.3600172955663199,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0112,locus_tag,NC_000913.3,120178,121551,gene,aroP,0.36051560952867645,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0113,locus_tag,NC_000913.3,122092,122856,gene,pdhR,0.36120911261766286,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0114,locus_tag,NC_000913.3,123017,125680,gene,aceE,0.3620167991913224,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0115,locus_tag,NC_000913.3,125695,127587,gene,aceF,0.36300459405401353,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0116,locus_tag,NC_000913.3,127912,129336,gene,lpd,0.3638590312242279,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0117,locus_tag,NC_000913.3,129407,131260,gene,yacH,0.36459562242063814,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0118,locus_tag,NC_000913.3,131615,134212,gene,acnB,0.3657072955921728,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0119,locus_tag,NC_000913.3,134388,134750,gene,yacL,0.36642061921057417,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0120,locus_tag,NC_000913.3,134788,135582,gene,speD,0.3666860419523049,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0121,locus_tag,NC_000913.3,135598,136464,gene,speE,0.36705056734111047,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0122,locus_tag,NC_000913.3,136570,136917,gene,yacC,0.36735757010650516,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0123,locus_tag,NC_000913.3,137083,138633,gene,cueO,0.3678377870637437,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0124,locus_tag,NC_000913.3,138835,141225,gene,gcd,0.3687736607569891,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0125,locus_tag,NC_000913.3,141431,141967,gene,hpt,0.3694928012698927,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0126,locus_tag,NC_000913.3,142008,142670,gene,can,0.36976856515740514,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0127,locus_tag,NC_000913.3,142779,143705,gene,yadG,0.3701576507674423,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0128,locus_tag,NC_000913.3,143702,144472,gene,yadH,0.37052174527517356,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0129,locus_tag,NC_000913.3,144577,145017,gene,yadI,0.3708276708378827,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0130,locus_tag,NC_000913.3,145081,146310,gene,yadE,0.37121481748308577,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0131,locus_tag,NC_000913.3,146314,146694,gene,panD,0.3715631848316074,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0132,locus_tag,NC_000913.3,146968,147870,gene,rpnC,0.3719574410145353,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0133,locus_tag,NC_000913.3,147944,148795,gene,panC,0.37236699347559876,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0134,locus_tag,NC_000913.3,148807,149601,gene,panB,0.3727265637320506,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0135,locus_tag,NC_000913.3,149715,150953,gene,yadC,0.37321345934593975,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0136,locus_tag,NC_000913.3,151003,151599,gene,yadK,0.3736301213447281,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0137,locus_tag,NC_000913.3,151626,152231,gene,yadL,0.37390049921881263,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0138,locus_tag,NC_000913.3,152243,152812,gene,yadM,0.3741585969822813,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0139,locus_tag,NC_000913.3,152829,155426,gene,htrE,0.37484800670106244,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0140,locus_tag,NC_000913.3,155461,156201,gene,yadV,0.3755820126110273,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0141,locus_tag,NC_000913.3,156299,156883,gene,yadN,0.37590948222744835,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0142,locus_tag,NC_000913.3,157253,157732,gene,folK,0.3762979215158741,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0143,locus_tag,NC_000913.3,157729,159126,gene,pcnB,0.37670079532028683,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0144,locus_tag,NC_000913.3,159186,160112,gene,gluQ,0.3772271165524688,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0145,locus_tag,NC_000913.3,160149,160604,gene,dksA,0.37754058253397715,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0146,locus_tag,NC_000913.3,160782,161486,gene,sfsA,0.3778669749477126,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0147,locus_tag,NC_000913.3,161501,162031,gene,thpR,0.37813929178663114,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0148,locus_tag,NC_000913.3,162105,164534,gene,hrpB,0.3788086655354602,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0149,locus_tag,NC_000913.3,164730,167264,gene,mrcB,0.3799623496117331,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0150,locus_tag,NC_000913.3,167484,169727,gene,fhuA,0.38108630289388346,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0151,locus_tag,NC_000913.3,169778,170575,gene,fhuC,0.38176321706151173,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0152,locus_tag,NC_000913.3,170575,171465,gene,fhuD,0.38212666524763167,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0153,locus_tag,NC_000913.3,171462,173444,gene,fhuB,0.38274411782701506,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0154,locus_tag,NC_000913.3,173602,174882,gene,hemL,0.38351496406882724,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0155,locus_tag,NC_000913.3,175107,176528,gene,clcA,0.38419381720128953,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0156,locus_tag,NC_000913.3,176610,176954,gene,erpA,0.3846094019973923,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0157,locus_tag,NC_000913.3,177001,177624,gene,yadS,0.3848379844072757,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0158,locus_tag,NC_000913.3,177662,178462,gene,btuF,0.3851609297724172,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0159,locus_tag,NC_000913.3,178455,179153,gene,mtn,0.385480643529502,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0160,locus_tag,NC_000913.3,179237,180754,gene,dgt,0.38599403832945683,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0161,locus_tag,NC_000913.3,180884,182308,gene,degP,0.38668366348877514,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0162,locus_tag,NC_000913.3,182463,183620,gene,cdaR,0.38730650208158646,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0163,locus_tag,NC_000913.3,183709,184095,gene,yaeH,0.38767727524596846,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0164,locus_tag,NC_000913.3,184257,185069,gene,yaeI,0.38800517574346377,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0166,locus_tag,NC_000913.3,185123,185947,gene,dapD,0.3883809040401995,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0167,locus_tag,NC_000913.3,185978,188650,gene,glnD,0.3891474414712693,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0168,locus_tag,NC_000913.3,188712,189506,gene,map,0.3899208729995269,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0169,locus_tag,NC_000913.3,189874,190599,gene,rpsB,0.3904066914107305,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0170,locus_tag,NC_000913.3,190857,191708,gene,tsf,0.39085739301438366,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0171,locus_tag,NC_000913.3,191855,192580,gene,pyrH,0.3912602668187964,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0172,locus_tag,NC_000913.3,192872,193429,gene,frr,0.3916622788610607,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0173,locus_tag,NC_000913.3,193521,194717,gene,dxr,0.3920795871814604,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0174,locus_tag,NC_000913.3,194903,195664,gene,ispU,0.3925813481924108,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0175,locus_tag,NC_000913.3,195677,196534,gene,cdsA,0.3929355324354346,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0176,locus_tag,NC_000913.3,196546,197898,gene,rseP,0.3934166111548216,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0177,locus_tag,NC_000913.3,197928,200360,gene,bamA,0.39424476457950747,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0178,locus_tag,NC_000913.3,200482,200967,gene,skp,0.394925772117341,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0179,locus_tag,NC_000913.3,200971,201996,gene,lpxD,0.3952528108526878,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0180,locus_tag,NC_000913.3,202101,202556,gene,fabZ,0.3956169053604191,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0181,locus_tag,NC_000913.3,202560,203348,gene,lpxA,0.3958864214723551,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0182,locus_tag,NC_000913.3,203348,204496,gene,lpxB,0.3963035143522177,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0183,locus_tag,NC_000913.3,204493,205089,gene,rnhB,0.3966779500057307,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0184,locus_tag,NC_000913.3,205126,208608,gene,dnaE,0.39757245911584926,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0185,locus_tag,NC_000913.3,208621,209580,gene,accA,0.3985348319951603,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0186,locus_tag,NC_000913.3,209679,211820,gene,ldcC,0.3992453548865792,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0187,locus_tag,NC_000913.3,211877,212266,gene,yaeR,0.3998149796667221,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0188,locus_tag,NC_000913.3,212331,213629,gene,tilS,0.4002064351226675,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0189,locus_tag,NC_000913.3,213678,213932,gene,rof,0.40056191200891406,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0190,locus_tag,NC_000913.3,214291,214836,gene,yaeQ,0.40088873530372376,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0191,locus_tag,NC_000913.3,214833,215255,gene,arfB,0.40109577365989524,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0192,locus_tag,NC_000913.3,215269,215979,gene,nlpE,0.4013456846829534,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0193,locus_tag,NC_000913.3,216179,217003,gene,yaeF,0.40176234668174177,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0194,locus_tag,NC_000913.3,217057,218775,gene,proS,0.4023332641051074,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0195,locus_tag,NC_000913.3,218887,219594,gene,trmO,0.40290396608793594,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0196,locus_tag,NC_000913.3,219591,219995,gene,rcsF,0.40314202788145254,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0197,locus_tag,NC_000913.3,220113,220928,gene,metQ,0.40345549386296087,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0198,locus_tag,NC_000913.3,220968,221621,gene,metI,0.40378899581442124,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0199,locus_tag,NC_000913.3,221614,222645,gene,metN,0.40414878151141015,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0200,locus_tag,NC_000913.3,222833,223408,gene,gmhB,0.40457578465598026,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0201,locus_tag,NC_000913.3,223771,225312,gene,rrsH,0.40518806666247276,mid
Escherichia coli,K-12 MG1655,GCF_000005845.2,b0202,locus_tag,NC_000913.3,225381,225457,gene,ileV,0.4055661648051168,mid
