dataset,normalized_row_number,gene,uniprot_accession,reference_identifier,mapping_status,reference_identifier_duplicated,reference_position_status,analysis_eligibility_status,locus_tag,source_protein_id
li_2014_all,564,ecpD,,b0290,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b0290,
li_2014_all,850,gatC,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,912,glpR,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,983,gtrA,,,ambiguous_one_to_many,FALSE,missing_reference_position,ambiguous_one_to_many,,
li_2014_all,1164,insA,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1165,insB,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1166,insC,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1167,insD,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1168,insE,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1169,insF,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1171,insH,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1172,insI,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1175,insL,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,1488,mscM,,b4159,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b4159,
li_2014_all,1957,rdoA,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,2006,rffT,,,ambiguous_one_to_many,FALSE,missing_reference_position,ambiguous_one_to_many,,
li_2014_all,2015,rhmA,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,2017,rhmT,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,2284,spr,,,ambiguous_one_to_many,FALSE,missing_reference_position,ambiguous_one_to_many,,
li_2014_all,2627,yagW,,b0290,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b0290,
li_2014_all,2937,yddJ,,,unmatched,FALSE,missing_reference_position,unmatched,,
li_2014_all,3264,ygaD,,,ambiguous_one_to_many,FALSE,missing_reference_position,ambiguous_one_to_many,,
li_2014_all,3608,yjeP,,b4159,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b4159,
li_2014_all,3800,ypaA,,,unmatched,FALSE,missing_reference_position,unmatched,,
zhu_E_coli,155,clpB,,b2592,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b2592,P63284
zhu_E_coli,156,clpB,,b2592,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,A0A7H2C767
zhu_E_coli,168,cobB,,b1120,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b1120,P75960
zhu_E_coli,169,cobB,,b1120,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,A0A7H2C766
zhu_E_coli,752,mcrB,,b4346,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b4346,P15005
zhu_E_coli,753,mcrB,,b4346,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,A0A7H2C770
zhu_E_coli,828,mrcB,,b0149,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,b0149,P02919
zhu_E_coli,829,mrcB,,b0149,mapped_one_to_one,TRUE,mapped_reference_position,duplicated_reference_identifier,,A0A7H2C765
zhu_B_subtilis,1367,yeeF,,BSU06810,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,BSU06810,O31506
zhu_B_subtilis,1579,ymfF,,BSU16840,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,BSU16840,O31764
zhu_B_subtilis,1902,yvrH,,BSU33220,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,BSU33220,P94504
zhu_V_natriegens,19,ahpC,,PN96_RS16355,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16355,WP_014235093.1
zhu_V_natriegens,20,ahpF,,PN96_RS16360,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16360,WP_020335019.1
zhu_V_natriegens,24,alr,,PN96_RS23260,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS23260,WP_020335354.1
zhu_V_natriegens,30,araC,,PN96_RS16265,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16265,WP_020335002.1
zhu_V_natriegens,45,aroG,,PN96_RS18400,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18400,WP_014233807.1
zhu_V_natriegens,50,ascB,,PN96_RS17925,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS17925,WP_020334101.1
zhu_V_natriegens,68,azu,,PN96_RS15275,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15275,WP_020335439.1
zhu_V_natriegens,75,betA,,PN96_RS19355,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19355,WP_020333794.1
zhu_V_natriegens,76,betB,,PN96_RS19350,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19350,WP_020333793.1
zhu_V_natriegens,103,choV,,PN96_RS19370,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19370,WP_014233985.1
zhu_V_natriegens,130,cueR,,PN96_RS19985,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19985,WP_014234058.1
zhu_V_natriegens,135,cyoA,,PN96_RS21725,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21725,WP_024372973.1
zhu_V_natriegens,136,cyoB,,PN96_RS21720,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21720,WP_014234376.1
zhu_V_natriegens,137,cyoD,,PN96_RS21710,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21710,WP_014234374.1
zhu_V_natriegens,152,dapA,,PN96_RS19840,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19840,WP_020333881.1
zhu_V_natriegens,158,dctP,,PN96_RS20440,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20440,WP_020334811.1
zhu_V_natriegens,164,deoD,,PN96_RS15460,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15460,WP_014234920.1
zhu_V_natriegens,169,dld,,PN96_RS20515,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20515,WP_020334824.1
zhu_V_natriegens,170,dmeF,,PN96_RS18050,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18050,WP_024373004.1
zhu_V_natriegens,186,elbB,,PN96_RS22820,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS22820,WP_014234620.1
zhu_V_natriegens,210,fdrA,,PN96_RS22120,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS22120,WP_020336086.1
zhu_V_natriegens,215,fghA,,PN96_RS16725,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16725,WP_020335085.1
zhu_V_natriegens,229,folE,,PN96_RS18455,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18455,WP_014233818.1
zhu_V_natriegens,235,fruB,,PN96_RS21195,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21195,WP_020334937.1
zhu_V_natriegens,248,gabT,,PN96_RS22505,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS22505,WP_014234566.1
zhu_V_natriegens,249,galE,,PN96_RS20905,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20905,WP_020334887.1
zhu_V_natriegens,253,gcvH,,PN96_RS21245,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21245,WP_014234303.1
zhu_V_natriegens,254,gcvP,,PN96_RS21250,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21250,WP_020334947.1
zhu_V_natriegens,255,gcvT,,PN96_RS21230,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21230,WP_020334943.1
zhu_V_natriegens,258,glgB,,PN96_RS15810,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15810,WP_020333473.1
zhu_V_natriegens,260,glgC,,PN96_RS21135,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21135,WP_020334926.1
zhu_V_natriegens,261,glgX,,PN96_RS15895,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15895,WP_020333485.1
zhu_V_natriegens,287,gnd,,PN96_RS21960,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21960,WP_020336051.1
zhu_V_natriegens,296,groL,,PN96_RS17435,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS17435,WP_020334390.1
zhu_V_natriegens,311,helD,,PN96_RS20005,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20005,WP_020334738.1
zhu_V_natriegens,350,hutH,,PN96_RS17865,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS17865,WP_020334089.1
zhu_V_natriegens,352,hutZ,,PN96_RS23345,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS23345,WP_020335368.1
zhu_V_natriegens,383,katG,,PN96_RS20240,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20240,WP_020334780.1
zhu_V_natriegens,384,katG,,PN96_RS21625,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21625,WP_020335989.1
zhu_V_natriegens,385,kdgR,,PN96_RS16750,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16750,WP_014233473.1
zhu_V_natriegens,402,lldD,,PN96_RS15555,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15555,WP_014234939.1
zhu_V_natriegens,425,ltaE,,PN96_RS20485,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20485,WP_020334819.1
zhu_V_natriegens,430,malE,,PN96_RS23645,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS23645,WP_014234864.1
zhu_V_natriegens,431,malK,,PN96_RS15185,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15185,WP_014234865.1
zhu_V_natriegens,432,malQ,,PN96_RS15815,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15815,WP_020333474.1
zhu_V_natriegens,433,malT,,PN96_RS15825,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15825,WP_014234988.1
zhu_V_natriegens,472,modA,,PN96_RS20775,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20775,WP_020334863.1
zhu_V_natriegens,473,modC,,PN96_RS20785,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20785,WP_024372990.1
zhu_V_natriegens,474,modF,,PN96_RS22720,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS22720,WP_020335262.1
zhu_V_natriegens,475,moeA,,PN96_RS18450,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18450,WP_020334183.1
zhu_V_natriegens,476,moeB,,PN96_RS18445,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18445,WP_020334182.1
zhu_V_natriegens,479,mqo,,PN96_RS19725,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19725,WP_020333856.1
zhu_V_natriegens,482,mrcB,,PN96_RS18715,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18715,WP_020334229.1
zhu_V_natriegens,512,nadE,,PN96_RS23385,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS23385,WP_020335374.1
zhu_V_natriegens,515,nagB,,PN96_RS16595,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16595,WP_014233442.1
zhu_V_natriegens,519,napA,,PN96_RS18320,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18320,WP_020334163.1
zhu_V_natriegens,520,narL,,PN96_RS19405,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19405,WP_014233995.1
zhu_V_natriegens,523,nfsA,,PN96_RS15765,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15765,WP_020333464.1
zhu_V_natriegens,525,nhaC,,PN96_RS19835,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19835,WP_020333880.1
zhu_V_natriegens,557,pcaF,,PN96_RS18955,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18955,WP_061778630.1
zhu_V_natriegens,560,pcp,,PN96_RS22750,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS22750,WP_020335266.1
zhu_V_natriegens,563,pdxH,,PN96_RS16420,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16420,WP_014235106.1
zhu_V_natriegens,565,pdxY,,PN96_RS15860,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15860,WP_020333481.1
zhu_V_natriegens,579,phnR,,PN96_RS17335,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS17335,WP_014233583.1
zhu_V_natriegens,585,pncB,,PN96_RS17495,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS17495,WP_024373014.1
zhu_V_natriegens,587,pntB,,PN96_RS20825,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20825,WP_014234219.1
zhu_V_natriegens,595,ppsA,,PN96_RS17695,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS17695,WP_020334436.1
zhu_V_natriegens,636,putA,,PN96_RS16400,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16400,WP_020335027.1
zhu_V_natriegens,637,putP,,PN96_RS16390,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16390,WP_020335025.1
zhu_V_natriegens,642,pyrC,,PN96_RS23400,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS23400,WP_014234745.1
zhu_V_natriegens,658,rbsB,,PN96_RS19965,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS19965,WP_020334735.1
zhu_V_natriegens,680,ribB,,PN96_RS18105,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18105,WP_014233750.1
zhu_V_natriegens,685,rimK,,PN96_RS17100,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS17100,WP_014233536.1
zhu_V_natriegens,701,rnb,,PN96_RS21885,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21885,WP_014234497.1
zhu_V_natriegens,821,solA,,PN96_RS23205,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS23205,WP_020335344.1
zhu_V_natriegens,827,sstT,,PN96_RS15855,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15855,WP_014234994.1
zhu_V_natriegens,837,tal,,PN96_RS18415,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18415,WP_014233810.1
zhu_V_natriegens,841,tdh,,PN96_RS15590,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15590,WP_014234946.1
zhu_V_natriegens,848,thiD,,PN96_RS16920,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16920,WP_020335114.1
zhu_V_natriegens,849,thiE,,PN96_RS16890,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16890,WP_020335109.1
zhu_V_natriegens,853,thiM,,PN96_RS16895,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16895,WP_020335110.1
zhu_V_natriegens,861,tkt,,PN96_RS18410,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18410,WP_020334176.1
zhu_V_natriegens,871,torT,,PN96_RS20015,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20015,WP_020334739.1
zhu_V_natriegens,879,trmY,,PN96_RS16935,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS16935,WP_020335118.1
zhu_V_natriegens,882,trpB,,PN96_RS22760,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS22760,WP_217999032.1
zhu_V_natriegens,892,trxC,,PN96_RS20650,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20650,WP_020334841.1
zhu_V_natriegens,942,yciH,,PN96_RS20875,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20875,WP_014234230.1
zhu_V_natriegens,943,yegD,,PN96_RS21345,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21345,WP_020334963.1
zhu_V_natriegens,950,yghU,,PN96_RS18000,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS18000,WP_014233730.1
zhu_V_natriegens,955,ylqF,,PN96_RS20135,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS20135,WP_020334760.1
zhu_V_natriegens,963,zwf,,PN96_RS21965,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS21965,WP_020336052.1
zhu_V_natriegens,1668,,,PN96_RS15255,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15255,WP_020335435.1
zhu_V_natriegens,1669,,,PN96_RS15260,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15260,WP_020335436.1
zhu_V_natriegens,1670,,,PN96_RS15265,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15265,WP_020335437.1
zhu_V_natriegens,1671,,,PN96_RS15315,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15315,WP_020335444.1
zhu_V_natriegens,1672,,,PN96_RS15320,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15320,WP_020335445.1
zhu_V_natriegens,1673,,,PN96_RS15325,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15325,WP_020335447.1
zhu_V_natriegens,1674,,,PN96_RS15330,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15330,WP_020335449.1
zhu_V_natriegens,1675,,,PN96_RS15340,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15340,WP_020335451.1
zhu_V_natriegens,1676,,,PN96_RS15360,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15360,WP_029791437.1
zhu_V_natriegens,1677,,,PN96_RS15375,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15375,WP_020335457.1
zhu_V_natriegens,1678,,,PN96_RS15380,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15380,WP_020335458.1
zhu_V_natriegens,1679,,,PN96_RS15385,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15385,WP_020335459.1
zhu_V_natriegens,1680,,,PN96_RS15390,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15390,WP_020335460.1
zhu_V_natriegens,1681,,,PN96_RS15395,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15395,WP_076633444.1
zhu_V_natriegens,1682,,,PN96_RS15400,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15400,WP_024372652.1
zhu_V_natriegens,1683,,,PN96_RS15425,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15425,WP_020333415.1
zhu_V_natriegens,1684,,,PN96_RS15430,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15430,WP_014234914.1
zhu_V_natriegens,1685,,,PN96_RS15435,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15435,WP_014234915.1
zhu_V_natriegens,1686,,,PN96_RS15440,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15440,WP_024372651.1
zhu_V_natriegens,1687,,,PN96_RS15480,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15480,WP_014234924.1
zhu_V_natriegens,1688,,,PN96_RS15485,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15485,WP_020333422.1
zhu_V_natriegens,1689,,,PN96_RS15515,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15515,WP_020333427.1
zhu_V_natriegens,1690,,,PN96_RS15530,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15530,WP_020333431.1
zhu_V_natriegens,1691,,,PN96_RS15535,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15535,WP_020333433.1
zhu_V_natriegens,1692,,,PN96_RS15540,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15540,WP_020333434.1
zhu_V_natriegens,1693,,,PN96_RS15545,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15545,WP_014234937.1
zhu_V_natriegens,1694,,,PN96_RS15565,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15565,WP_020333436.1
zhu_V_natriegens,1695,,,PN96_RS15580,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15580,WP_024372647.1
zhu_V_natriegens,1696,,,PN96_RS15595,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15595,WP_020333441.1
zhu_V_natriegens,1697,,,PN96_RS15600,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15600,WP_020333442.1
zhu_V_natriegens,1698,,,PN96_RS15605,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15605,WP_020333443.1
zhu_V_natriegens,1699,,,PN96_RS15610,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15610,WP_020333444.1
zhu_V_natriegens,1700,,,PN96_RS15615,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15615,WP_020333445.1
zhu_V_natriegens,1701,,,PN96_RS15640,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15640,WP_014234956.1
zhu_V_natriegens,1702,,,PN96_RS15645,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15645,WP_020333450.1
zhu_V_natriegens,1703,,,PN96_RS15655,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15655,WP_024372646.1
zhu_V_natriegens,1704,,,PN96_RS15660,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15660,WP_031779192.1
zhu_V_natriegens,1705,,,PN96_RS15715,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15715,WP_014234969.1
zhu_V_natriegens,1706,,,PN96_RS15725,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15725,WP_020333459.1
zhu_V_natriegens,1707,,,PN96_RS15735,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15735,WP_020333460.1
zhu_V_natriegens,1708,,,PN96_RS15740,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15740,WP_020333461.1
zhu_V_natriegens,1709,,,PN96_RS15750,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15750,WP_020333463.1
zhu_V_natriegens,1710,,,PN96_RS15770,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15770,WP_020333465.1
zhu_V_natriegens,1711,,,PN96_RS15800,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15800,WP_020333472.1
zhu_V_natriegens,1712,,,PN96_RS15820,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15820,WP_020333475.1
zhu_V_natriegens,1713,,,PN96_RS15840,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15840,WP_020333478.1
zhu_V_natriegens,1714,,,PN96_RS15885,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15885,WP_014235000.1
zhu_V_natriegens,1715,,,PN96_RS15890,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15890,WP_014235001.1
zhu_V_natriegens,1716,,,PN96_RS15900,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15900,WP_020333486.1
zhu_V_natriegens,1717,,,PN96_RS15910,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15910,WP_014235005.1
zhu_V_natriegens,1718,,,PN96_RS15920,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15920,WP_020333489.1
zhu_V_natriegens,1719,,,PN96_RS15925,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15925,WP_024372640.1
zhu_V_natriegens,1720,,,PN96_RS15930,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15930,WP_014235009.1
zhu_V_natriegens,1721,,,PN96_RS15945,mapped_one_to_one,FALSE,missing_reference_position,missing_reference_position,PN96_RS15945,WP_020333493.1
